gstin,invoice_no,vendor_name,amount,tax_rate,date
27SYNTC1234A1Z5,INV-2024-1067,NovaTech Solutions Pvt Ltd,60362.78,12.0,2024-03-01
29SYNSL2345F1Z0,INV-2024-1068,Silverline Components Pvt Ltd,66770.22,12.0,2024-02-09
29SYNSL2345F1Z0,INV-2024-1069,Silverline Components Pvt Ltd,253982.22,5.0,2024-02-05
27SYNOI7890E1Z9,INV-2024-1070,Orion Industrial Services Pvt Ltd,219496.88,28.0,2024-02-14
24SYNSH4567N1Z8,INV-2024-1071,Solaris Healthcare & Pharma Ltd,277433.46,18.0,2024-03-09
27SYNBP9012C1Z7,INV-2024-1072,BluePeak Technologies Pvt Ltd,16960.15,18.0,2024-03-15
29SYNSL2345F1Z0,INV-2024-1073,Silverline Components Pvt Ltd,196507.1,28.0,2024-02-10
27SYNQO6789G1Z1,INV-2024-1074,Quantum Office Supplies Pvt Ltd,75495.85,12.0,2024-03-14
27SYNTC1234A1Z5,INV-2024-1075,NovaTech Solutions Pvt Ltd,105542.37,12.0,2024-03-07
27SYNZC2345K1Z5,INV-2024-1076,Zenith Consumer Products Pvt Ltd,197685.32,18.0,2024-02-12
29SYNVR5678B1Z6,INV-2024-1077,Vertex Business Systems Pvt Ltd,198698.74,18.0,2024-02-08
27SYNQO6789G1Z1,INV-2024-1078,Quantum Office Supplies Pvt Ltd,166180.65,18.0,2024-03-30
27SYNAP3456D1Z8,INV-2024-1079,Apex Retail Network Pvt Ltd,218806.91,28.0,2024-02-23
27SYNPP8901P1Z9,INV-2024-1080,Prism Paints & Coatings Pvt Ltd,123296.34,18.0,2024-01-23
27SYNOI7890E1Z9,INV-2024-1081,Orion Industrial Services Pvt Ltd,123561.31,12.0,2024-02-06
19SYNHH8901J1Z4,INV-2024-1082,Horizon Hospitality & FMCG Ltd,140328.09,18.0,2024-03-18
24SYNAE4567I1Z3,INV-2024-1083,Astra Global Logistics Pvt Ltd,186388.64,12.0,2024-03-01
29SYNVR5678B1Z6,INV-2024-1084,Vertex Business Systems Pvt Ltd,70843.61,18.0,2024-01-31
27SYNAP3456D1Z8,INV-2024-1085,Apex Retail Network Pvt Ltd,17138.48,5.0,2024-01-19
27SYNGG0123H1Z2,INV-2024-1086,GreenGrid Infrastructure Pvt Ltd,122405.81,5.0,2024-03-19
27SYNPP8901P1Z9,INV-2024-1087,Prism Paints & Coatings Pvt Ltd,202714.12,12.0,2024-03-21
27SYNGG0123H1Z2,INV-2024-1088,GreenGrid Infrastructure Pvt Ltd,46093.58,12.0,2024-02-21
27SYNMD6789L1Z6,INV-2024-1089,Matrix Digital Services Pvt Ltd,205498.65,5.0,2024-01-01
27SYNSA0123M1Z7,INV-2024-1090,Sterling Auto Components Ltd,22148.48,28.0,2024-03-30
27SYNAP3456D1Z8,INV-2024-1091,Apex Retail Network Pvt Ltd,48215.14,28.0,2024-01-16
27SYNGG0123H1Z2,INV-2024-1092,GreenGrid Infrastructure Pvt Ltd,280556.45,18.0,2024-03-26
27SYNPP8901P1Z9,INV-2024-1093,Prism Paints & Coatings Pvt Ltd,266866.5,28.0,2024-02-26
24SYNAE4567I1Z3,INV-2024-1094,Astra Global Logistics Pvt Ltd,209659.05,12.0,2024-02-27
27SYNGG0123H1Z2,INV-2024-1095,GreenGrid Infrastructure Pvt Ltd,223238.67,18.0,2024-02-27
24SYNSH4567N1Z8,INV-2024-1096,Solaris Healthcare & Pharma Ltd,227296.73,18.0,2024-03-22
24SYNAE4567I1Z3,INV-2024-1097,Astra Global Logistics Pvt Ltd,80949.53,12.0,2024-03-03
29SYNVR5678B1Z6,INV-2024-1098,Vertex Business Systems Pvt Ltd,80158.62,12.0,2024-02-06
29SYNSL2345F1Z0,INV-2024-1099,Silverline Components Pvt Ltd,40846.73,5.0,2024-03-10
27SYNAP3456D1Z8,INV-2024-1100,Apex Retail Network Pvt Ltd,199441.41,12.0,2024-02-19
29SYNVR5678B1Z6,INV-2024-1101,Vertex Business Systems Pvt Ltd,110164.4,28.0,2024-02-23
27SYNQO6789G1Z1,INV-2024-1102,Quantum Office Supplies Pvt Ltd,234145.34,12.0,2024-01-08
27SYNQO6789G1Z1,INV-2024-1103,Quantum Office Supplies Pvt Ltd,225644.32,5.0,2024-03-15
27SYNSA0123M1Z7,INV-2024-1104,Sterling Auto Components Ltd,155980.84,28.0,2024-03-14
27SYNOI7890E1Z9,INV-2024-1105,Orion Industrial Services Pvt Ltd,175185.97,28.0,2024-02-19
27SYNMD6789L1Z6,INV-2024-1106,Matrix Digital Services Pvt Ltd,139570.17,12.0,2024-03-10
27SYNOI7890E1Z9,INV-2024-1107,Orion Industrial Services Pvt Ltd,15502.18,28.0,2024-02-25
27SYNZC2345K1Z5,INV-2024-1108,Zenith Consumer Products Pvt Ltd,233503.28,28.0,2024-03-27
24SYNSH4567N1Z8,INV-2024-1109,Solaris Healthcare & Pharma Ltd,274710.11,12.0,2024-02-29
27SYNPP8901P1Z9,INV-2024-1110,Prism Paints & Coatings Pvt Ltd,26845.49,5.0,2024-02-20
27SYNBP9012C1Z7,INV-2024-1111,BluePeak Technologies Pvt Ltd,19398.11,12.0,2024-02-29
27SYNQO6789G1Z1,INV-2024-1112,Quantum Office Supplies Pvt Ltd,130369.49,12.0,2024-02-11
29SYNSL2345F1Z0,INV-2024-1113,Silverline Components Pvt Ltd,223306.04,18.0,2024-02-18
24SYNSH4567N1Z8,INV-2024-1114,Solaris Healthcare & Pharma Ltd,247272.74,18.0,2024-02-23
27SYNMD6789L1Z6,INV-2024-1115,Matrix Digital Services Pvt Ltd,262476.29,5.0,2024-03-10
29SYNSL2345F1Z0,INV-2024-1116,Silverline Components Pvt Ltd,206222.21,5.0,2024-01-29
27SYNZC2345K1Z5,INV-2024-1117,Zenith Consumer Products Pvt Ltd,249537.61,5.0,2024-01-06
27SYNAP3456D1Z8,INV-2024-1118,Apex Retail Network Pvt Ltd,71056.73,12.0,2024-01-03
29SYNVR5678B1Z6,INV-2024-1119,Vertex Business Systems Pvt Ltd,133205.33,12.0,2024-03-13
27SYNBP9012C1Z7,INV-2024-1120,BluePeak Technologies Pvt Ltd,205336.96,5.0,2024-03-18
29SYNVR5678B1Z6,INV-2024-1121,Vertex Business Systems Pvt Ltd,244206.23,5.0,2024-03-15
27SYNQO6789G1Z1,INV-2024-1122,Quantum Office Supplies Pvt Ltd,157567.18,5.0,2024-01-26
24SYNSH4567N1Z8,INV-2024-1123,Solaris Healthcare & Pharma Ltd,33561.72,12.0,2024-03-21
24SYNSH4567N1Z8,INV-2024-1124,Solaris Healthcare & Pharma Ltd,210079.45,5.0,2024-03-28
19SYNHH8901J1Z4,INV-2024-1125,Horizon Hospitality & FMCG Ltd,159916.66,18.0,2024-01-06
29SYNVR5678B1Z6,INV-2024-1126,Vertex Business Systems Pvt Ltd,9557.74,18.0,2024-03-05
27SYNQO6789G1Z1,INV-2024-1127,Quantum Office Supplies Pvt Ltd,116773.89,5.0,2024-03-03
29SYNSL2345F1Z0,INV-2024-1128,Silverline Components Pvt Ltd,228211.99,28.0,2024-03-22
27SYNQO6789G1Z1,INV-2024-1129,Quantum Office Supplies Pvt Ltd,183960.27,18.0,2024-01-23
27SYNPP8901P1Z9,INV-2024-1130,Prism Paints & Coatings Pvt Ltd,152184.41,28.0,2024-03-09
24SYNSH4567N1Z8,INV-2024-1131,Solaris Healthcare & Pharma Ltd,99078.25,18.0,2024-03-16
27SYNAP3456D1Z8,INV-2024-1132,Apex Retail Network Pvt Ltd,260779.58,18.0,2024-01-12
27SYNSA0123M1Z7,INV-2024-1133,Sterling Auto Components Ltd,111893.98,28.0,2024-02-29
27SYNGG0123H1Z2,INV-2024-1134,GreenGrid Infrastructure Pvt Ltd,139383.7,12.0,2024-02-11
29SYNSL2345F1Z0,INV-2024-1135,Silverline Components Pvt Ltd,86749.27,18.0,2024-02-03
19SYNHH8901J1Z4,INV-2024-1136,Horizon Hospitality & FMCG Ltd,166579.18,18.0,2024-03-30
24SYNAE4567I1Z3,INV-2024-1137,Astra Global Logistics Pvt Ltd,67338.84,5.0,2024-01-25
27SYNQO6789G1Z1,INV-2024-1138,Quantum Office Supplies Pvt Ltd,195103.2,12.0,2024-03-03
27SYNGG0123H1Z2,INV-2024-1139,GreenGrid Infrastructure Pvt Ltd,29187.97,5.0,2024-02-27
27SYNAP3456D1Z8,INV-2024-1140,Apex Retail Network Pvt Ltd,89622.94,12.0,2024-02-21
